ID,Title,Location,Salary,Summary
33d60dd4aa7e220b,[웹젠]  게임보안(경력),웹젠  성남  분당구,,"PC/AOS/IOS  어플리케이션  리버싱  가능한  분  -  C/C++/  Python/Java  등  개발  능력을  보유한  분  -  문제점  파악  후,  개선  방안  제시...  리버싱  가능한  분  -  C/C++/  Python/Java  등  개발  능력을  보유..."
9f3584bb8608ccfc,데이터베이스  관리자,아이엠아이  전주  덕진구,"연봉  30,000,000원  -  32,000,000원","이해  -  시스템  안정성을  위한  모니터링  및  알림도구  구축  경험  -  모니터링  지표에  대한  이해  -  Ruby,  Python  상세모집요강  접수기간/방법  지원방법  전형절차  및  제출서류  제출서류  이력서에  응시분야,  연락처,  희망연봉  기재"
1d89fe4b37ab05ed,"데이터마이닝,  빅데이터  큐레이터  외  신입/경력  정규직",에임즈인터내셔널코리아  서울  강남구,,"있거나  이에  준하는  실질적인  기술  경력  -데이터를  다루기  위한  Python  혹은  R  등의  프로그래밍  능력  -SQL의  사용  능력  -데이터를  다루기  위한  Python,  R,  Java  중  1개의  프로그래밍  능력  -대용량  데이터..."
96688eea9c1a9e28,Security  Engineer  (취약점  분석),Toss  서울  강남구,,"#  자격  요건  -  모의해킹  및  취약점  점검  경력이  있는  분  -  소스  코드  정적  취약점  점검에  능숙한  분  -  Python,  C,  C++,  JAVA  중  프로그래밍  언어에  능숙한  분  #  우대  사항  -  국내  또는  국외  버그  바운티..."
d736ed8b3142b924,Software  Engineer  -  Embedded,GE  Appliances  경기도  성남,,"C  (must  have)  and  C++(optional),  lua(optional),  python(optional)  and  Object  Oriented  Programming.  Deep  knowledge..."
49d127c231640d09,Field  Service  Engineer,Novetta  서울,,"Experience  with  system  administrative  scripting.  (bash,  Python,  etc.).  Experience  with  modern  server  deployment  techniques..."
7bf179a290a157b2,경험최적화파트  -  머신러닝  엔지니어,Nexon  성남  분당구,,모델  개발  -  머신러닝을  위한  솔루션  프로토타이핑  -  머신러닝  파이프라인  설계  및  구축  지원자격  -  Python에  숙련된  프로그래밍  능력과  머신러닝  라이브러리  활용  경험  -  머신러닝과  강화학습에  관련된  지식  습득  혹은...
cd2ef993ee5c8d3f,지스트  블록체인인터넷경제연구센터  계약직(연구원),광주과학기술원  광주  북구,,록체인  개발  블록체인  하드포크  1)  4년제  대학  이상  졸업자  2)  SW프로그래밍  제작  경험자  3)  Python/C/Java/Go  프로그래밍  가능자  4)  팀장급은  개발  경험  10년  이상인  자  연구직  1명  우대사...
a3d6d5c1fad3ef7a,"Professional  Services,  Junior  Consultant",Dell  Technologies  4.0  서울,,transactions  Experiences  in  Hadoop/MPP  parallel  database  Python/Perl  scripting  experiences  Here’s  our  story;  now  tell  us...
409c1253b2dde75b,동국대학교  데이터분석팀  연구원(계약직)  채용공고,동국대학교  4.3  서울  필동,,"자  4)  남자의  경우  병역필  또는  면제자  5)  한글,  MS  OFFICE  등  기본  문서작업  가능자  6)  Python,  R  프로그래밍  언어  사용  가능자  우대  2.  모집인원  :  O명  3.  근무조건  및  계약기간  구  분..."
